Epoch 1 | Loss 17802874.03607559
Epoch 2 | Loss 17044063.04619202
Epoch 3 | Loss 16778475.993891966
Epoch 4 | Loss 16625633.081885856
Epoch 5 | Loss 16404681.99217408
Epoch 6 | Loss 16179063.5403703
Epoch 7 | Loss 15943851.672456576
Epoch 8 | Loss 15744124.489406375
Epoch 9 | Loss 15565384.394922696
Epoch 10 | Loss 15416060.512120634
Epoch 11 | Loss 15294860.078640962
Epoch 12 | Loss 15194639.238786029
Epoch 13 | Loss 15115805.772475664
Epoch 14 | Loss 15047146.313036839
Epoch 15 | Loss 14991630.778392823
Epoch 16 | Loss 14944240.052490933
Epoch 17 | Loss 14898299.012597824
Epoch 18 | Loss 14858053.735445695
Epoch 19 | Loss 14822937.910669975
Epoch 20 | Loss 14786631.288413819
Epoch 21 | Loss 14755474.994846344
Epoch 22 | Loss 14729124.93949227
Epoch 23 | Loss 14702730.086085131
Epoch 24 | Loss 14679255.193548387
Epoch 25 | Loss 14658436.756823821
Epoch 26 | Loss 14638355.220271043
Epoch 27 | Loss 14616868.293567475
Epoch 28 | Loss 14595144.567283833
Epoch 29 | Loss 14577482.17770567
Epoch 30 | Loss 14560852.694789082
Epoch 31 | Loss 14541299.736018324
Epoch 32 | Loss 14526638.108990265
Epoch 33 | Loss 14509164.569574347
Epoch 34 | Loss 14492493.968314564
Epoch 35 | Loss 14477625.960870394
Epoch 36 | Loss 14462985.491887765
Epoch 37 | Loss 14447728.987783927
Epoch 38 | Loss 14434055.24947509
Epoch 39 | Loss 14418392.966787554
Epoch 40 | Loss 14406288.054399695
Epoch 41 | Loss 14393410.073869059
Epoch 42 | Loss 14380347.8553159
Epoch 43 | Loss 14365158.677610232
Epoch 44 | Loss 14351402.498568429
Epoch 45 | Loss 14338811.520900935
Epoch 46 | Loss 14326984.129223134
Epoch 47 | Loss 14314343.013170453
Epoch 48 | Loss 14300697.147356365
Epoch 49 | Loss 14288583.715785455
Epoch 50 | Loss 14279501.189158237
Training is done!

Elapsed time for training:41.711028071244556 minutes.

