Epoch 1 | Loss 17907949.928975765
Epoch 2 | Loss 17201099.5160092
Epoch 3 | Loss 16896206.711215284
Epoch 4 | Loss 16755649.980010614
Epoch 5 | Loss 16622809.149964621
Epoch 6 | Loss 16431980.331284273
Epoch 7 | Loss 16140146.882053778
Epoch 8 | Loss 15876367.425968513
Epoch 9 | Loss 15686480.015390059
Epoch 10 | Loss 15517430.42450911
Epoch 11 | Loss 15374771.443658235
Epoch 12 | Loss 15271999.748717494
Epoch 13 | Loss 15186954.247567663
Epoch 14 | Loss 15116243.278613126
Epoch 15 | Loss 15055575.353750221
Epoch 16 | Loss 15000226.745621793
Epoch 17 | Loss 14956877.752697682
Epoch 18 | Loss 14919394.512603927
Epoch 19 | Loss 14885823.3662657
Epoch 20 | Loss 14855914.52299664
Epoch 21 | Loss 14834162.763488414
Epoch 22 | Loss 14807047.92893154
Epoch 23 | Loss 14787994.004024412
Epoch 24 | Loss 14764472.94454272
Epoch 25 | Loss 14746967.02640191
Epoch 26 | Loss 14728800.661064921
Epoch 27 | Loss 14708574.05382098
Epoch 28 | Loss 14694130.122103307
Epoch 29 | Loss 14675307.814479038
Epoch 30 | Loss 14655930.205068106
Epoch 31 | Loss 14640635.600831417
Epoch 32 | Loss 14625660.13669733
Epoch 33 | Loss 14608981.29846984
Epoch 34 | Loss 14595132.071333805
Epoch 35 | Loss 14581177.280249424
Epoch 36 | Loss 14567892.241597382
Epoch 37 | Loss 14555170.63055015
Epoch 38 | Loss 14544144.740403326
Epoch 39 | Loss 14529573.643773219
Epoch 40 | Loss 14519543.146249779
Epoch 41 | Loss 14511102.422872812
Epoch 42 | Loss 14498081.887581814
Epoch 43 | Loss 14487631.037457988
Epoch 44 | Loss 14477339.654608173
Epoch 45 | Loss 14468164.349902706
Epoch 46 | Loss 14458298.244825756
Epoch 47 | Loss 14448228.832522554
Epoch 48 | Loss 14439564.279011145
Epoch 49 | Loss 14431450.506102955
Epoch 50 | Loss 14421404.027993986
Training is done!

Elapsed time for training:45.85964961051941 minutes.

