Epoch 1 | Loss 18220694.72126766
Epoch 2 | Loss 34839927.80336006
Epoch 3 | Loss 17093770.381825123
Epoch 4 | Loss 16947259.346315388
Epoch 5 | Loss 16872869.168766703
Epoch 6 | Loss 16813948.189003438
Epoch 7 | Loss 16782431.45819015
Epoch 8 | Loss 16758306.773195876
Epoch 9 | Loss 16730190.651393661
Epoch 10 | Loss 16697132.596410844
Epoch 11 | Loss 16639409.995418098
Epoch 12 | Loss 16542162.332187857
Epoch 13 | Loss 16433565.977854142
Epoch 14 | Loss 16332118.734249713
Epoch 15 | Loss 16245101.012218405
Epoch 16 | Loss 16186981.933562428
Epoch 17 | Loss 16140435.552500954
Epoch 18 | Loss 16104129.349369988
Epoch 19 | Loss 16069967.950744558
Epoch 20 | Loss 16044633.604047347
Epoch 21 | Loss 16016610.705612829
Epoch 22 | Loss 15994957.911798397
Epoch 23 | Loss 15973645.914852997
Epoch 24 | Loss 15951624.059946544
Epoch 25 | Loss 15928606.492172586
Epoch 26 | Loss 15910859.74379534
Epoch 27 | Loss 15896016.608247424
Epoch 28 | Loss 15881075.34058801
Epoch 29 | Loss 15864256.254295534
Epoch 30 | Loss 15843915.548682703
Epoch 31 | Loss 15831769.1534937
Epoch 32 | Loss 15817279.719358534
Epoch 33 | Loss 15800934.67735777
Epoch 34 | Loss 15791270.094310805
Epoch 35 | Loss 15773935.015273005
Epoch 36 | Loss 15763376.878197785
Epoch 37 | Loss 15748746.663993891
Epoch 38 | Loss 15737160.452844597
Epoch 39 | Loss 15725490.987399772
Epoch 40 | Loss 15715448.870179458
Epoch 41 | Loss 15701338.529973272
Epoch 42 | Loss 15693142.96563574
Epoch 43 | Loss 15679696.674684994
Epoch 44 | Loss 15672925.459335625
Epoch 45 | Loss 15658810.377243223
Epoch 46 | Loss 15650179.610538373
Epoch 47 | Loss 15641507.105765559
Epoch 48 | Loss 15632451.586865216
Epoch 49 | Loss 15624079.355097365
Epoch 50 | Loss 15614049.620465826
Training is done!

Elapsed time for training:42.6434330423673 minutes.

